1	ещё	еще	ADV	_	Degree=Pos	_	_	_	@yad1986m-words#@yad1986m#1299.923#1300.23
2	в	в	ADP	_	_	_	_	_	@yad1986m-words#@yad1986m#1300.23#1300.537
3	прошлом	прошлый	ADJ	_	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1300.537#1300.844
4	году	год	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1300.844#1301.151
5	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@yad1986m-words#@yad1986m#1301.151#1301.458
6	стал	стать	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@yad1986m-words#@yad1986m#1301.458#1301.765
7	открытием	открытие	NOUN	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1301.765#1302.072
8	года	год	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1302.072#1302.379
9	журнала	журнал	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1302.379#1302.686
10	GQ	GQ	PROPN	_	Foreign=Yes	_	_	_	@yad1986m-words#@yad1986m#1302.686#1302.993
11	/	/	PUNCT	_	_	_	_	_	@yad1986m-words#@yad1986m#1302.993#1303.3
12	но	но	CCONJ	_	_	_	_	_	@yad1986m-words#@yad1986m#1303.3#1303.607
13	не	не	PART	_	_	_	_	_	@yad1986m-words#@yad1986m#1303.607#1303.914
14	приехал	приехать	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@yad1986m-words#@yad1986m#1303.914#1304.221
15	на	на	ADP	_	_	_	_	_	@yad1986m-words#@yad1986m#1304.221#1304.528
16	вечерину	вечерина	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1304.528#1304.835
17	/	/	PUNCT	_	_	_	_	_	@yad1986m-words#@yad1986m#1304.835#1305.142
18	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@yad1986m-words#@yad1986m#1305.142#1305.449
19	был	быть	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@yad1986m-words#@yad1986m#1305.449#1305.756
20	на	на	ADP	_	_	_	_	_	@yad1986m-words#@yad1986m#1305.756#1306.063
21	этой	этот	DET	_	Case=Loc|Gender=Fem|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1306.063#1306.37
22	вечерине	вечерина	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1306.37#1306.677
23	и	и	CCONJ	_	_	_	_	_	@yad1986m-words#@yad1986m#1306.677#1306.984
24	все	весь	PRON	_	Animacy=Anim|Case=Nom|Number=Plur	_	_	_	@yad1986m-words#@yad1986m#1306.984#1307.291
25	невероятно	невероятно	ADV	_	Degree=Pos	_	_	_	@yad1986m-words#@yad1986m#1307.291#1307.598
26	грустили	грустить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@yad1986m-words#@yad1986m#1307.598#1307.905
27	все	весь	DET	_	Case=Nom|Number=Plur	_	_	_	@yad1986m-words#@yad1986m#1307.905#1308.212
28	рублёвские	рублёвский	ADJ	_	Animacy=Anim|Case=Nom|Degree=Pos|Number=Plur	_	_	_	@yad1986m-words#@yad1986m#1308.212#1308.519
29	мадамы	мадама	NOUN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Plur	_	_	_	@yad1986m-words#@yad1986m#1308.519#1308.846
30	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	@yad1986m-words#@yad1986m#1309.096#1309.466
31	очень	очень	ADV	_	Degree=Pos	_	_	_	@yad1986m-words#@yad1986m#1309.466#1309.836
32	грустили	грустить	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@yad1986m-words#@yad1986m#1309.836#1310.206
33	из-за	из-за	ADP	_	_	_	_	_	@yad1986m-words#@yad1986m#1310.206#1310.576
34	того	то	PRON	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1310.576#1310.946
35	что	что	SCONJ	_	_	_	_	_	@yad1986m-words#@yad1986m#1310.946#1311.316
36	этого	этот	DET	_	Case=Gen|Gender=Masc|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1311.316#1311.686
37	обворожительного	обворожительный	ADJ	_	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1311.686#1312.056
38	казахского	казахский	ADJ	_	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1312.056#1312.426
39	мальчика	мальчик	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1312.426#1312.796
40	не	не	PART	_	_	_	_	_	@yad1986m-words#@yad1986m#1312.796#1313.166
41	будет	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@yad1986m-words#@yad1986m#1313.166#1313.538
42	где	где	ADV	_	Degree=Pos	_	_	_	@yad1986m-words#@yad1986m#1314.115#1314.302
43	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@yad1986m-words#@yad1986m#1314.302#1314.489
44	был	быть	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@yad1986m-words#@yad1986m#1314.489#1314.676
45	?	?	PUNCT	_	_	_	_	_	@yad1986m-words#@yad1986m#1314.676#1314.865
46	почему	почему	ADV	_	Degree=Pos	_	_	_	@yad1986m-words#@yad1986m#1316.403#1316.903
47	?	?	PUNCT	_	_	_	_	_	@yad1986m-words#@yad1986m#1316.903#1317.403
48	перехотел	перехотеть	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@yad1986m-words#@yad1986m#1327.692#1328.143
49	или	или	CCONJ	_	_	_	_	_	@yad1986m-words#@yad1986m#1328.143#1328.594
50	угорел	угореть	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@yad1986m-words#@yad1986m#1328.594#1329.045
51	?	?	PUNCT	_	_	_	_	_	@yad1986m-words#@yad1986m#1329.045#1329.499
52	ну	ну	INTJ	_	_	_	_	_	@yad1986m-words#@yad1986m#1353.288#1353.59
53	в	в	ADP	_	_	_	_	_	@yad1986m-words#@yad1986m#1353.59#1353.892
54	съёмке	съёмка	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1353.892#1354.194
55	при	при	ADP	_	_	_	_	_	@yad1986m-words#@yad1986m#1354.194#1354.496
56	этом	это	PRON	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1354.496#1354.798
57	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@yad1986m-words#@yad1986m#1354.798#1355.1
58	принял	принять	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@yad1986m-words#@yad1986m#1355.1#1355.402
59	участие	участие	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1355.402#1355.711
60	охуенная	охуенный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1356.269#1356.894
61	съёмка	съёмка	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1356.894#1357.519
62	в	в	ADP	_	_	_	_	_	@yad1986m-words#@yad1986m#1357.519#1357.89
63	фраке	фрак	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1357.89#1358.261
64	растёгнутом	растёгнутый	VERB	_	Aspect=Perf|Case=Loc|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass	_	_	_	@yad1986m-words#@yad1986m#1358.261#1358.634
65	и	и	CCONJ	_	_	_	_	_	@yad1986m-words#@yad1986m#1358.98#1359.313
66	всё	все	DET	_	Case=Acc|Gender=Neut|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1359.313#1359.646
67	остальное	остальной	ADJ	_	Case=Acc|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1359.646#1359.98
68	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1360.057#1360.305
69	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@yad1986m-words#@yad1986m#1360.305#1360.553
70	эээ	эээ	INTJ	_	_	_	_	_	@yad1986m-words#@yad1986m#1360.553#1360.801
71	ну	ну	INTJ	_	_	_	_	_	@yad1986m-words#@yad1986m#1360.801#1361.049
72	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1361.049#1361.297
73	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@yad1986m-words#@yad1986m#1361.297#1361.545
74	если	если	SCONJ	_	_	_	_	_	@yad1986m-words#@yad1986m#1361.545#1361.793
75	бы	бы	PART	_	_	_	_	_	@yad1986m-words#@yad1986m#1361.793#1362.041
76	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1362.041#1362.289
77	была	быть	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@yad1986m-words#@yad1986m#1362.289#1362.537
78	панк-поза	панк-поз	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1362.537#1362.785
79	/	/	PUNCT	_	_	_	_	_	@yad1986m-words#@yad1986m#1362.785#1363.033
80	такая	такой	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1363.033#1363.281
81	/	/	PUNCT	_	_	_	_	_	@yad1986m-words#@yad1986m#1363.281#1363.529
82	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1363.529#1363.777
83	что	что	SCONJ	_	_	_	_	_	@yad1986m-words#@yad1986m#1363.777#1364.025
84	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@yad1986m-words#@yad1986m#1364.025#1364.273
85	вообще	вообще	ADV	_	Degree=Pos	_	_	_	@yad1986m-words#@yad1986m#1364.273#1364.521
86	не	не	PART	_	_	_	_	_	@yad1986m-words#@yad1986m#1364.521#1364.769
87	хочешь	хотеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@yad1986m-words#@yad1986m#1364.769#1365.017
88	иметь	иметь	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@yad1986m-words#@yad1986m#1365.017#1365.265
89	с	с	ADP	_	_	_	_	_	@yad1986m-words#@yad1986m#1365.265#1365.513
90	ними	они	PRON	_	Case=Ins|Number=Plur|Person=3	_	_	_	@yad1986m-words#@yad1986m#1365.513#1365.761
